AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"WHITE, MARK",1993 MULTIBEAM SURVEY OF THE ANNAPOLIS BASIN BY THE CANADIAN HYDROGRAPHIC SERVICE [MAP],YES,2001,,MAP 574.92 WHI 2001 C.2,
"WHITE, MARK",1993 MULTIBEAM SURVEY OF THE ANNAPOLIS BASIN BY THE CANADIAN HYDROGRAPHIC SERVICE [MAP],YES,2001,,MAP 574.92 WHI 2001 C.1,
"BLACK, TREVOR",ACTION 2000: MONCTON RIVERVIEW DIEPPE: DEVELOPING INDICATORS FOR A SUSTAINABLE COMMUNITY,NO,2001,,711.3 BLA 2001,
"LEFURGEY, TIM",AGRICULTURAL LAND CLASSIFICATION AN ASSESSMENT: USING GIS AND RS TECHNIQUES TO EVALUATE THE STATUS OF AGRICULTURAL EXEMPT LANDS,NO,1995,,711.3 LEF,"LAND USE - ANNAPOLIS COUNTY, NOVA SCOTIA"
"MILLS, RICHARD","ALBRO LAKE LAND ASSEMBLY, AN IMPACT STUDY",NO,1985,,711.3 MIL,"PLANNING - ALBRO LAKE, NOVA SCOTIA"
"DOYLE, PATRICK",ALBRO LAKE PARK DESIGN,NO,1990,,711.3 DOY,"PLANNING - DARTMOUTH, NOVA SCOTIA"
"MEYERS, JEFF B.",AM/FM: AUTOMATED MAPPING AND FACILITIES MANAGEMENT PILOT PROJECT,NO,1995,,711.3 MEY,
"CLERSON, JEAN-FRANCOIS",ANALYSIS AND RANKING OF THE ANNAPOLIS RIVER CORRIDOR AS DUCK HABITAT,NO,1991,,711.3 CLE,"ANNAPOLIS RIVER, NOVA SCOTIA - PLANNING"
"GATES, LARRY",ANALYSIS AND SOLUTIONS TO MALFUNCTIONING SEWAGE DISPOSAL SYSTEMS IN KINGS CO.,NO,1991,,711.3 GAT,"KINGS COUNTY, NOVA SCOTIA - PLANNING"
"GENTLEMEN, BEVERLY",ANALYSIS OF A COMPUTERIZED GRID MAPPING SYSTEM,NO,1983,,711.3 GEN,PLANNING - NOVA SCOTIA
"DALTON, MARK",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],YES,2001,,MAP 574.92 DAL 2001,
"HARRISON, RACHEL",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],YES,2001,,MAP 574.92 DAL 2001,
"MARSHALL, ERIN",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],YES,2001,,MAP 574.92 DAL 2001,
"MCGRATH, HEATHER",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],YES,2001,,MAP 574.92 DAL 2001,
"WILCOTT, STEVE",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],YES,2001,,MAP 574.92 DAL 2001,
"RHODENIZER, BRUCE",ANNAPOLIS COUNTY FARMER'S ATTITUDE SURVEY,NO,1986,,711.3 RHO,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA"
"CRESS, DIXIE LEE",ANNAPOLIS ROYAL HERITAGE CONSERVATION DISTRICT STUDY,NO,1989,,711.3 CRE,"ANNAPOLIS ROYAL, NOVA SCOTIA - PLANNING"
"BONE, ANDREW",APPLICATION OF SIGNAL OPTIMIZATION IN THE CITY OF DARTMOUTH: AN ANALYSIS OF OF EZ-TRANSYT AND TRANSYT-7F SOFTWARE,NO,1991,,711.3 BON,"DARTMOUTH, NOVA SCOTIA - PLANNING"
"WHITE, DAVID",ASSESSMENT OF COMMERCIAL EXPANSION IN MIDDLETON,NO,1984,,711.3 WHI,"PLANNING - MIDDLETON, NOVA SCOTIA"
"FILLMORE, SHELLEY ANNE ELIZABETH",ATTITUDE SURVEY OF MIDDLETON,NO,1988,,711.3 FIL,CITY PLANNING
"DURLAND, LEIGH",AUTOMATED MAPPING AND FACILITIES MANAGEMENT: AM/FM,NO,1996,,711.3 DUR 1996,AUTOMATED MAPPING AND FACILITIES MANAGEMENT
"BOIDUK, SUSAN","BACKGROUND STUDY: SPRINGHILL, NOVA SCOTIA",NO,1981,,711.3 BOI,PLANNING
"JACKLIN, LISANNE",BEAR RIVER; A WATER STUDY,NO,1984,,711.3 JAC,PLANNING - BEAR RIVER NOVA SCOTIA
"SHUPE, CHRIS",BONNE BAY: GROS MORNE NATIONAL PARK NEWFOUNDLAND [MAP],YES,2001,,MAP 526.8 SHU 2001,
"BOYD, ADRIAN",BRIDGETOWN COMMUNITY PROFILE FOR ECONOMIC DEVELOPMENT,NO,1987,,711.3 BOY,"PLANNING - BRIDGETOWN, NOVA SCOTIA"
"JACOBS, MARIA A.",BURNSIDE INDUSTRIAL PARK ECOSYSTEM: AN EVALUATION OF PROJECT USING COMPUTER BASED TECHNOLOGIES,NO,1994,,711.3 JAC 1994,BURNSIDE INDUSTRIAL PARK ECOSYSTEM PROJECT
"HENNEBERRY, PENNY J.",BUS STOP/SHELTER ANALYSIS,NO,1990,,711.3 HEN,LOCAL TRANSIT - PLANNING
"O'BRIEN, KIMBERLEY S.","CALEDONIA, QUEENS COUNTY: AN HISTORICAL INVENTORY",NO,1987,,711.3 OBR,"PLANNING - CALEDONIA, QUEENS COUNTY, NOVA SCOTIA"
"MCISAAC, PAUL","CALGARY ALBERTA, BRITISH COLUMBIA [MAP]",YES,2001,,MAP 526.8 MCI 2001,
"SAUNDERS, SCOTT",CAPE BRETON HIGHLAND PERSPECTIVE [MAP],YES,2001,,MAP 574.92 SAU 2001,
"HARRISON, RACHEL",CAPE BRETON HIGHLANDS [MAP],YES,2001,,MAP 574.92 HAR 2001,
"MCGRATH, HEATHER",CAPE BRETON PROJECT: SURFACE ANALYSIS [MAP],YES,2001,,MAP 574.92 MCG 2001,
"SANGSTER, CHUCK",CARIS: COMPUTER AIDED RESOURCE INFORMATION SYSTEM [MAP],YES,1999,,MAP 574.92 SAN 1999,
"PROSZYNSKA, GRAZYNA","CASE STUDY IN WATER-SUPPLY WATERSHED MANAGEMENT: MARGARETVILLE, NOVA SCOTIA",NO,1993,,711.3 PRO,"MARGARETVILLE, NOVA SCOTIA - PLANNING"
"MCLORG, MICHAEL",CFB GREENWOOD: IMPLICATIONS FOR LAND USE PLANNING,NO,1996,,711.3 MCL 1996,AIR BASES - GREENWOOD
"DODGE, ANDREA",CHANGES IN THE AVON AND ST. CROIX RIVERS DUE TO THE GROWTH OF THE MUDFLAT [MAP],YES,2001,,MAP 574.92 DOD 2001,
"BOUTILIER, CHAD",CHOOSING THE RIGHT PATH: TRAIL PLANNING FOR KEJIMKUJIK NATIONAL PARK,NO,2000,,711.3 BOU 2000,TRAIL PLANNING
"COOMBS, SUSAN",COASTAL NEW BRUNSWICK: AN ANALYSIS OF THE DRAFT OF THE LAND USE POLICY FOR COASTAL LANDS,NO,1999,,711.3 COO 1999,COASTAL ZONE MANAGEMENT - NEW BRUNSWICK
"BUTTS, E. BRYNE",COLCHESTER OLD FORESTS ASSESSMENT,NO,1997,,711.3 BUT,
"MCMAHON, ROD","COMMUNITY ECONOMIC DEVELOPMENT IN PORT WILLIAMS, KINGS COUNTY",NO,1989,,711.3 MCM,"ECONOMIC DEVELOPMENT - PORT WILLIAMS, NOVA SCOTIA"
"MELANSON, MICHEL",COMMUNITY VISION FOR THE METEGHAN RIVER : SUSTAINABLE MANAGEMENT PROJECT IN CLARE,NO,2000,,711.3 MEL 2000,
"RILEY, ROBERT T.",COMPARATIVE FUNCTIONAL ANALYSIS OF ERDAS IMAGINE 8.2 AND PCI EASI/PACE 6.0.1,NO,1997,,010.785 26 RIL 1997,INTEGRATED STUDIES IN RS AND GIS
"PYLE, KURT E.",COMPUTER MAPPING FOR MELVERN SQUARE; COMPUTER APPLICATIONS FOR PLAN-NING OFFICES,NO,1983,,711.3 PYL,"PLANNING - MELVERN SQUARE, NOVA SCOTIA"
"POWER, JAMES",CONCEPTUAL PARK DESIGN,NO,1989,,711.3 POW,"PARKS - CHETECAMP, NOVA SCOTIA"
"MERCER, JENNIFER",CONSERVATION OF ECOLOGICAL SITES: A STUDY OF METHODS AND APPLICATIONS,NO,1992,,711.3 MER,ECOLOGY - PLANNING
"LAFFERTY, CHRISTIANNE",CORNWALLIS RIVER PROJECT: A STUDY OF LAND USE CONFLICTS AND OPPORTUNITIES ALONG THE CORNWALLIS RIVER,NO,1994,,711.3 LAF,"CORNWALLIS RIVER, NOVA SCOTIA - PLANNING"
"CLEMENTS, MARLENE",COTTAGE DEVELOPMENT: AN ASSESSMENT OF LAKE DEVELOPMENT ISSUES FOR ANNAPOLIS CO.,NO,1998,,711.3 CLE,
"SMITH, MARK","COUNTRY RESIDENTIAL DISTRICTS: A PRELIMINARY REVIEW, KINGS COUNTY, NOVA SCOTIA",NO,2002,,711.3 SMI 2002,
"TOWNSEND, SARAH M.",CRANBERRY INDUSTRY,NO,1999,,711.3 TOW 1999,CRANBERRIES - NOVA SCOTIA
"HIGGINS, CHRIS",CUSTOMIZATION OF A MUNICIPAL DATABASE MANAGEMENT SYSTEM USING NON-PROGRAMMING TOOLS,NO,1994,,711.3 HIG,MUNICIPALITY OF EAST HANTS - PLANNING
"MACKAY, MELISSA",DEAR WINTERING AREAS IN NOVA SCOTIA : A GIS MODEL,NO,2000,,711.3 MAC,
"MCCARTHY, FELIX","DESIGN AND ANALYSIS OF A LAND INFORMATION SYSTEM: CASE STUDY, ANNAPOLIS COUNTY",NO,1995,,711.3 MCC,
"MCELMON, DEREK G.",DESIGN PROPOSAL: JACK LAKE SUBDIVISION PHASE 1,NO,1984,,711.3 MCE,"PLANNING - HALIFAX COUNTY, NOVA SCOTIA"
"ROCHE, CHRISTOPHER",DEVELOPMENT POTENTIAL OF LAND NEAR THE ST. JOHN'S AIRPORT,NO,1997,,711.3 ROC,
"DA SILVA, NANO","DEVELOPMENT, WEST KENTVILLE",NO,1982,,711.3 DAS S,"PLANNING - WEST KENTVILLE, NOVA SCOTIA"
