CREATOR,TITLE,PUB_YEAR,CLIENT,DEWEY_CALL_NO
"WHITE, MARK",1993 MULTIBEAM SURVEY OF THE ANNAPOLIS BASIN BY THE CANADIAN HYDROGRAPHIC SERVICE [MAP],2001,,MAP 574.92 WHI 2001 C.2
"WHITE, MARK",1993 MULTIBEAM SURVEY OF THE ANNAPOLIS BASIN BY THE CANADIAN HYDROGRAPHIC SERVICE [MAP],2001,,MAP 574.92 WHI 2001 C.1
"BLACK, TREVOR",ACTION 2000: MONCTON RIVERVIEW DIEPPE: DEVELOPING INDICATORS FOR A SUSTAINABLE COMMUNITY,2001,,711.3 BLA 2001
"LEFURGEY, TIM",AGRICULTURAL LAND CLASSIFICATION AN ASSESSMENT: USING GIS AND RS TECHNIQUES TO EVALUATE THE STATUS OF AGRICULTURAL EXEMPT LANDS,1995,"LAND USE - ANNAPOLIS COUNTY, NOVA SCOTIA",711.3 LEF
"MILLS, RICHARD","ALBRO LAKE LAND ASSEMBLY, AN IMPACT STUDY",1985,"PLANNING - ALBRO LAKE, NOVA SCOTIA",711.3 MIL
"DOYLE, PATRICK",ALBRO LAKE PARK DESIGN,1990,"PLANNING - DARTMOUTH, NOVA SCOTIA",711.3 DOY
"MEYERS, JEFF B.",AM/FM: AUTOMATED MAPPING AND FACILITIES MANAGEMENT PILOT PROJECT,1995,,711.3 MEY
"CLERSON, JEAN-FRANCOIS",ANALYSIS AND RANKING OF THE ANNAPOLIS RIVER CORRIDOR AS DUCK HABITAT,1991,"ANNAPOLIS RIVER, NOVA SCOTIA - PLANNING",711.3 CLE
"GATES, LARRY",ANALYSIS AND SOLUTIONS TO MALFUNCTIONING SEWAGE DISPOSAL SYSTEMS IN KINGS CO.,1991,"KINGS COUNTY, NOVA SCOTIA - PLANNING",711.3 GAT
"GENTLEMEN, BEVERLY",ANALYSIS OF A COMPUTERIZED GRID MAPPING SYSTEM,1983,PLANNING - NOVA SCOTIA,711.3 GEN
"DALTON, MARK",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],2001,,MAP 574.92 DAL 2001
"HARRISON, RACHEL",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],2001,,MAP 574.92 DAL 2001
"MARSHALL, ERIN",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],2001,,MAP 574.92 DAL 2001
"MCGRATH, HEATHER",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],2001,,MAP 574.92 DAL 2001
"WILCOTT, STEVE",ANNAPOLIS BASIN BATHYMETRY SINGLE BEAM [MAP],2001,,MAP 574.92 DAL 2001
"RHODENIZER, BRUCE",ANNAPOLIS COUNTY FARMER'S ATTITUDE SURVEY,1986,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA",711.3 RHO
"CRESS, DIXIE LEE",ANNAPOLIS ROYAL HERITAGE CONSERVATION DISTRICT STUDY,1989,"ANNAPOLIS ROYAL, NOVA SCOTIA - PLANNING",711.3 CRE
"BONE, ANDREW",APPLICATION OF SIGNAL OPTIMIZATION IN THE CITY OF DARTMOUTH: AN ANALYSIS OF OF EZ-TRANSYT AND TRANSYT-7F SOFTWARE,1991,"DARTMOUTH, NOVA SCOTIA - PLANNING",711.3 BON
"WHITE, DAVID",ASSESSMENT OF COMMERCIAL EXPANSION IN MIDDLETON,1984,"PLANNING - MIDDLETON, NOVA SCOTIA",711.3 WHI
