FCODE,DESCRIPTION
AR80,ARROW symbol
BLAR40,ARENA region
BLAR60,ARENA point
BLAR80,ARENA symbol
BLCC40,COMMUNITY CENTRE region
BLCC60,COMMUNITY CENTER point
BLCC80,COMMUNITY CENTER symbol
BLCH40,CHURCH region
BLCH60,CHURCH point
BLCH80,CHURCH symbol
BLDG40,BUILDING region
BLDG43,BUILDING region under construction
BLDG44,BUILDING region ruin/inactive/abandoned
BLDG45,BUILDING region indefinite/approximate
BLDG46,BUILDING region underground
BLDG60,BUILDING point
BLDG63,BUILDING under construction
BLDG64,BUILDING ruin/inactive/abandoned
BLDG65,BUILDING indefintite/approximate
BLDG66,BUILDING underground
BLFA40,FACTORY region
BLFA60,FACTORY point
BLFA80,FACTORY symbol
BLFS40,FIRE STATION region
BLFS60,FIRE STATION point
BLFS80,FIRE STATION symbol
BLFT40,FORT region
BLGH40,GREEN HOUSE region
BLGH60,GREEN HOUSE point
BLGH80,GREEN HOUSE symbol
BLHO40,HOSPITAL region
BLHO60,HOSPITAL point
BLHO80,HOSPITAL symbol
BLLB40,LEGISLATURE BUILDING region
BLLI40,LIBRARY region
BLLI60,LIBRARY point
BLLI80,LIBRARY symbol
BLMU40,MUSEUM region
BLMU60,MUSEUM point
BLMU80,MUSEUM symbol
BLPO40,POST OFFICE region
BLPO60,POST OFFICE point
BLPO80,POST OFFICE symbol
BLPS40,POLICE STATION region
BLPS60,POLICE STATION point
BLPS80,POLICE STATION symbol
BLPU40,PUMPING STATION region
BLPU60,PUMPING STATION point
BLPU80,PUMPING STATION symbol
BLSC40,SENIOR CITIZENS region
BLSC60,SENIOR CITIZENS point
BLSC80,SENIOR CITIZENS symbol
BLSH40,SCHOOL region
BLSH60,SCHOOL point
BLSH80,SCHOOL symbol
BLTH40,TOWN HALL region
BLTH60,TOWN HALL point
BLTH80,TOWN HALL symbol
DAAD40,AMMUNITION DUMP region
DAAP40,AIRPORT region
DAAS41,AIRSTRIP region paved
DAAS42,AIRSTRIP region unpaved
DAAS44,AIRSTRIP region ruin/inactive/abandoned
DAAS80,AIRSTRIP symbol
DABU40,BUILT UP AREA region
DACG40,CAMPGROUND region
DACG80,CAMPGROUND symbol
DACM40,CEMETERY region
DACM80,CEMETERY symbol
DADI40,DRIVE-IN THEATRE region
DADI44,DRIVE-IN THEATRE region ruin/inactive/abandoned
DADI80,DRIVE-IN THEATRE symbol
DADP40,DISPOSAL PILE region
DADP80,DISPOSAL PILE symbol
